"school_id","school_name","enroll","reg_attend","ela","math","street","city","state","zip","address","lon","lat","reg_attend_pctile","ela_pctile","math_pctile","enroll_scaled","optional"
412,"Jacksonville Elementary School",426,80,72,66,"655 Hueners Ln","Jacksonville","OR",97530,"655 Hueners Ln, Jacksonville, OR 97530",-122.95804,42.317728,0.388185654008439,0.860227272727273,0.888636363636364,2.99367236934614,TRUE
413,"Jefferson Elementary School",486,83,57,51,"333 Holmes Ave","Medford","OR",97501,"333 Holmes Ave, Medford, OR 97501",-122.8693213,42.3086403,0.522362869198312,0.596590909090909,0.713636363636364,3.13428638387626,TRUE
416,"Kennedy Elementary School",528,83,51,36,"2860 N Keene Way Dr","Medford","OR",97504,"2860 N Keene Way Dr, Medford, OR 97504",-122.8517067,42.3587818,0.522362869198312,0.457954545454545,0.363636363636364,3.23271619404734,TRUE
5205,"Kids Unlimited Academy",393,86,47,26,"821 N Riverside Ave","Medford","OR",97501,"821 N Riverside Ave, Medford, OR 97501",-122.8752232,42.3351332,0.686075949367088,0.365909090909091,0.146590909090909,2.91633466135458,TRUE
4821,"Logos Public Charter School",967,NA,NA,NA,"400 Earhart","Medford","OR",97501,"400 Earhart, Medford, OR 97501",-122.8640674,42.3208983,NA,NA,NA,4.26154206702601,TRUE
414,"Lone Pine Elementary School",608,88,70,63,"3158 Lone Pine Rd","Medford","OR",97504,"3158 Lone Pine Rd, Medford, OR 97504",-122.8327806,42.3445894,0.79915611814346,0.842045454545455,0.867045454545455,3.42020154675416,TRUE
4593,"Madrone Trail Public Charter School",232,74,43,29,"3070 Ross Ln","Central Point","OR",97502,"3070 Ross Ln, Central Point, OR 97502",-122.945151,42.346629,0.174683544303797,0.264772727272727,0.196590909090909,2.53902038903211,TRUE
422,"McLoughlin Middle School",812,87,65,44,"320 W Second St","Medford","OR",97501,"320 W Second St, Medford, OR 97501",-122.8810467,42.3291085,0.746835443037975,0.770454545454546,0.544318181818182,3.89828919615655,TRUE
424,"North Medford High School",1579,74,NA,NA,"1900 N Keene Way Dr","Medford","OR",97501,"1900 N Keene Way Dr, Medford, OR 97501",-122.8516199,42.3478372,0.174683544303797,NA,NA,5.69580501523319,TRUE
415,"Oak Grove Elementary School",524,82,49,40,"2838 W Main St","Medford","OR",97501,"2838 W Main St, Medford, OR 97501",-122.9097005,42.3244907,0.475949367088608,0.410227272727273,0.459090909090909,3.223341926412,TRUE
417,"Roosevelt Elementary School",403,75,53,42,"1212 Queen Anne Ave","Medford","OR",97504,"1212 Queen Anne Ave, Medford, OR 97504",-122.8573406,42.3298923,0.20337552742616,0.510227272727273,0.503409090909091,2.93977033044293,TRUE
418,"Ruch Elementary School",198,92,58,42,"156 Upper Applegate Rd","Jacksonville","OR",97530,"156 Upper Applegate Rd, Jacksonville, OR 97530",-123.044032,42.235784,0.937552742616034,0.625,0.503409090909091,2.45933911413171,TRUE
